Polimero (cal)	dd	dp	dh	Ro	FIT
A	8.60	4.72	1.94	5.20	0.960
A2	9.2	5.3	2.1	5.3	0.9229999999999999
B	9.11	5.14	3.67	4.2	0.945
B2	9.2	5.0	4.2	4.0	0.9229999999999999
C	9.95	5.88	5.61	6.2	0.853
C2	8.5	5.5	5.5	4.7	0.8290000000000001
D	9.98	1.68	2.23	6.7	0.9740000000000001
D2	8.5	2.5	3.0	5.3	0.9570000000000001
E	9.79	2.84	5.34	5.7	0.93
E2	9.4	3.2	5.1	5.0	0.929
F	9.09	2.13	6.37	5.2	0.948
F2	8.5	4.3	5.5	4.8	0.871
G	10.4	2.81	2.1	6.2	0.955
G2	8.6	3.0	2.0	3.5	0.915
H	10.23	5.51	4.72	6.7	0.8909999999999999
H2	9.3	5.0	4.0	4.9	0.855
I	10.17	4.05	7.31	6.2	0.924
I2	9.5	4.0	6.4	4.7	0.909
J	7.53	7.2	4.32	5.6	0.9329999999999999
J2	7.0	7.0	4.3	5.5	0.9179999999999999
K	9.9	3.09	2.64	5.2	0.9490000000000001
K2	9.3	3.7	2.1	4.2	0.9329999999999999
L	9.08	6.22	5.38	3.7	0.9209999999999999
L2	9.5	6.0	6.0	4.5	0.8959999999999999
M	11.37	3.2	4.08	9.7	0.978
M2	9.0	4.0	5.5	6.4	0.9229999999999999
N	9.65	5.68	7.13	6.2	0.897
N2	9.4	5.3	7.4	5.5	0.867
O	10.62	0.46	4.17	7.7	1.0
O2	8.9	3.0	3.8	4.5	0.9520000000000001
P	8.58	4.58	7.0	5.2	0.9420000000000001
P2	8.5	4.7	6.5	5.0	0.94
Q	9.87	6.43	6.39	5.7	0.9420000000000001
R	9.04	4.50	2.40	5.20.1	0.985
R2	9.2	4.5	2.6	5.0	0.972
S	10.53	7.30	6.00	8.2	0.91
S2	8.8	7.0	5.5	6.0	0.879
T	8.58	1.64	1.32	3.2	0.9740000000000001
T2	8.7	1.8	1.8	3.5	0.965
U	9.1	4.29	2.04	4.7	0.9690000000000001
U2	9.3	4.5	2.0	4.7	0.95
V	8.1	0.69	–0.40	4.7	0.9740000000000001
V2	8.5	1.5	1.5	3.4	0.9640000000000001
X	7.1	1.23	2.28	6.2	0.9209999999999999
X2	7.8	1.0	3.6	4.0	0.8809999999999999
Y	8.57	1.10	1.67	3.2	0.95
Y2	8.8	2.5	1.2	3.8	0.914
Z	8.52	–0.94	7.28	4.7	0.971
Z2	8.2	0.8	5.7	2.9	0.9540000000000001
A	9.6	2.31	3.80	5.2	0.9420000000000001
A3	8.7	2.5	3.5	4.2	0.951
B	9.95	4.17	5.20	7.2	0.98
B3	9.5	4.0	5.5	7.0	0.976
C	8.05	0.18	1.39	4.2	0.966
C3	8.5	1.0	2.0	3.4	0.96
D	10.34	6.63	6.26	6.7	0.9640000000000001
D3	9.2	5.8	4.2	5.0	0.868
E	8.58	0.58	1.76	3.2	0.968
E3	8.5	1.5	1.8	2.6	0.956
F	8.91	3.68	4.08	1.7	0.992
F3	9.4	4.5	3.5	3.2	0.895
G	9.49	2.68	2.82	4.7	0.961
G3	8.8	2.7	2.7	4.0	0.963
L	9.86	7.14	7.35	5.7	0.97
L3	10.8	7.0	8.8	7.1	0.9359999999999999
L4	9.3	6.2	4.7	4.2	0.892